1, 2.500000 
1, 2.500000 
1, 2.500000, 3 
1, 0.000000, 0 
1, 1.500000, 7 
..\wavfiles\sm02.192, 1, 1.500000, 7 
..\wavfiles\sm02.192, 1, 1.500000, 7 
..\wavfiles\sm02.192, 2, 0.000000, 0 
..\wavfiles\sm02.192, 2, 0.000000, 0 
..\wavfiles\sm02.192, 2, 4.900000, 1 
..\es03_record.192, 2, 0.000000, 0 
..\es03_record.192, 2, 0.000000, 0 
..\es03_record.192, 2, 0.000000, 0 
..\es03_record.192, 1, 0.000000, 0 
..\es03_record.192, 1, 0.000000, 0 
..\es03_record.192, 1, 0.000000, 0 
..\wavfiles\es01.192, 1, 4.900000, 1 
..\wavfiles\es02.192, 1, 4.900000, 1 
..\wavfiles\es03.192, 1, 4.900000, 1 
..\wavfiles\sc01.192, 1, 4.900000, 1 
..\wavfiles\sc02.192, 1, 2.400000, 1 
..\wavfiles\sc03.192, 1, 0.000000, 0 
..\wavfiles\si01.192, 1, 4.900000, 1 
..\wavfiles\si02.192, 1, 4.900000, 1 
..\wavfiles\si03.192, 1, 4.900000, 1 
..\wavfiles\sm01.192, 1, 4.900000, 1 
..\wavfiles\sm02.192, 1, 4.900000, 1 
..\wavfiles\sm03.192, 1, 0.000000, 0 
..\wavfiles\sm03.192, 4, 0.900000, 2 
..\wavfiles\sm03.192, 4, 0.900000, -40 
..\wavfiles\sm03.192, 4, 0.900000, 40 
..\wavfiles\sm03.192, 1, 0.000000, 0 
..\wavfiles\sm03.192, 0, 0.000000, 0 
..\wavfiles\sm03.192, 0, 0.900000, 20 
..\wavfiles\sm03.192, 0, 0.900000, 6 
..\wavfiles\sm03.192, 0, 0.900000, 6 
..\wavfiles\sm03.192, 0, 0.800000, 6 
..\wavfiles\sm03.192, 0, 0.800000, 6 
..\wavfiles\sm02.192, 0, 1.200000, 0 
..\wavfiles\sm02.192, 0, 1.200000, 0 
..\wavfiles\sm02.192, 1, 0.000000, 0 
..\wavfiles\es01.192, 1, 0.000000, 0 
..\wavfiles\es01.192, 1, 4.900000, 19 
..\wavfiles\es01.192, 1, 4.900000, 39 
..\wavfiles\es01.192, 1, 4.900000, 39 
