0 th frame's encode time cost:21, its send time cost:0
1 th frame's encode time cost:20, its send time cost:10
2 th frame's encode time cost:19, its send time cost:1
3 th frame's encode time cost:15, its send time cost:29
4 th frame's encode time cost:31, its send time cost:10
5 th frame's encode time cost:55, its send time cost:1
6 th frame's encode time cost:39, its send time cost:1
7 th frame's encode time cost:29, its send time cost:1
8 th frame's encode time cost:23, its send time cost:4
9 th frame's encode time cost:23, its send time cost:4
10 th frame's encode time cost:23, its send time cost:1
11 th frame's encode time cost:26, its send time cost:0
12 th frame's encode time cost:24, its send time cost:1
13 th frame's encode time cost:30, its send time cost:1
14 th frame's encode time cost:31, its send time cost:1
15 th frame's encode time cost:38, its send time cost:1
16 th frame's encode time cost:65, its send time cost:1
17 th frame's encode time cost:24, its send time cost:2
18 th frame's encode time cost:27, its send time cost:1
19 th frame's encode time cost:25, its send time cost:2
20 th frame's encode time cost:22, its send time cost:2
21 th frame's encode time cost:24, its send time cost:3
22 th frame's encode time cost:23, its send time cost:2
23 th frame's encode time cost:24, its send time cost:1
24 th frame's encode time cost:28, its send time cost:1
25 th frame's encode time cost:26, its send time cost:1
26 th frame's encode time cost:35, its send time cost:1
27 th frame's encode time cost:24, its send time cost:1
28 th frame's encode time cost:24, its send time cost:1
29 th frame's encode time cost:24, its send time cost:1
30 th frame's encode time cost:15, its send time cost:0
31 th frame's encode time cost:20, its send time cost:10
32 th frame's encode time cost:26, its send time cost:0
33 th frame's encode time cost:28, its send time cost:1
34 th frame's encode time cost:30, its send time cost:1
35 th frame's encode time cost:32, its send time cost:24
36 th frame's encode time cost:25, its send time cost:1
37 th frame's encode time cost:28, its send time cost:1
38 th frame's encode time cost:26, its send time cost:1
39 th frame's encode time cost:35, its send time cost:1
40 th frame's encode time cost:44, its send time cost:1
41 th frame's encode time cost:39, its send time cost:2
42 th frame's encode time cost:25, its send time cost:2
43 th frame's encode time cost:61, its send time cost:1
44 th frame's encode time cost:25, its send time cost:1
45 th frame's encode time cost:47, its send time cost:1
46 th frame's encode time cost:23, its send time cost:0
47 th frame's encode time cost:20, its send time cost:0
48 th frame's encode time cost:29, its send time cost:2
49 th frame's encode time cost:21, its send time cost:0
50 th frame's encode time cost:32, its send time cost:1
51 th frame's encode time cost:19, its send time cost:0
52 th frame's encode time cost:20, its send time cost:0
53 th frame's encode time cost:31, its send time cost:1
54 th frame's encode time cost:20, its send time cost:0
55 th frame's encode time cost:20, its send time cost:0
56 th frame's encode time cost:20, its send time cost:10
57 th frame's encode time cost:26, its send time cost:1
58 th frame's encode time cost:42, its send time cost:1
59 th frame's encode time cost:22, its send time cost:0
60 th frame's encode time cost:20, its send time cost:0
61 th frame's encode time cost:20, its send time cost:0
62 th frame's encode time cost:29, its send time cost:1
63 th frame's encode time cost:26, its send time cost:1
64 th frame's encode time cost:24, its send time cost:1
65 th frame's encode time cost:25, its send time cost:2
66 th frame's encode time cost:22, its send time cost:3
67 th frame's encode time cost:21, its send time cost:1
68 th frame's encode time cost:16, its send time cost:0
69 th frame's encode time cost:20, its send time cost:10
70 th frame's encode time cost:26, its send time cost:1
71 th frame's encode time cost:25, its send time cost:2
72 th frame's encode time cost:23, its send time cost:1
73 th frame's encode time cost:26, its send time cost:1
74 th frame's encode time cost:36, its send time cost:0
75 th frame's encode time cost:28, its send time cost:1
76 th frame's encode time cost:12, its send time cost:0
77 th frame's encode time cost:30, its send time cost:0
78 th frame's encode time cost:29, its send time cost:1
79 th frame's encode time cost:25, its send time cost:1
80 th frame's encode time cost:26, its send time cost:1
81 th frame's encode time cost:25, its send time cost:1
82 th frame's encode time cost:13, its send time cost:10
83 th frame's encode time cost:20, its send time cost:0
84 th frame's encode time cost:29, its send time cost:2
85 th frame's encode time cost:25, its send time cost:1
86 th frame's encode time cost:23, its send time cost:1
87 th frame's encode time cost:23, its send time cost:2
88 th frame's encode time cost:23, its send time cost:2
89 th frame's encode time cost:29, its send time cost:0
90 th frame's encode time cost:26, its send time cost:0
91 th frame's encode time cost:33, its send time cost:1
92 th frame's encode time cost:27, its send time cost:1
93 th frame's encode time cost:24, its send time cost:1
94 th frame's encode time cost:26, its send time cost:1
95 th frame's encode time cost:23, its send time cost:1
96 th frame's encode time cost:25, its send time cost:0
97 th frame's encode time cost:25, its send time cost:0
98 th frame's encode time cost:23, its send time cost:17
99 th frame's encode time cost:26, its send time cost:0
100 th frame's encode time cost:29, its send time cost:1
101 th frame's encode time cost:24, its send time cost:2
102 th frame's encode time cost:44, its send time cost:0
103 th frame's encode time cost:24, its send time cost:3
104 th frame's encode time cost:22, its send time cost:0
105 th frame's encode time cost:58, its send time cost:1
106 th frame's encode time cost:23, its send time cost:1
107 th frame's encode time cost:26, its send time cost:1
